Voter,Greeting,Vote,date
Greenspan,Chairman,Yes,19981117
McDonough,Vice Chairman,Yes,19981117
Ferguson,Governor,Yes,19981117
Gramlich,Governor,Yes,19981117
Hoenig,President,Yes,19981117
Jordan,President,No,19981117
Kelley,Governor,Yes,19981117
Meyer,Governor,Yes,19981117
Minehan,Preisdent,Yes,19981117
Poole,President,Yes,19981117
Rivlin,Governor,Yes,19981117
