Voters,Greeting,Vote,date
Yellen,Chair,Yes,20150617
Dudley,Vice Chairman,Yes,20150617
Brainard,Governor,Yes,20150617
Evans,President,Yes,20150617
Fischer,Governor,Yes,20150617
Lacker,President,Yes,20150617
Lockhart,President,Yes,20150617
Powell,Governor,Yes,20150617
Tarullo,Governor,Yes,20150617
Williams,President,Yes,20150617
