Voter,Greeting,Vote,date
Greenspan,Chairman,Yes,19951219
McDonough,Vice Chairman,Yes,19951219
Blinder,Governor,Yes,19951219
Hoenig,President,Yes,19951219
Kelley,President,Yes,19951219
Lindsey,President,Yes,19951219
Melzer,Governor,Yes,19951219
Minehan,Governor,Yes,19951219
Moskow,Governor,Yes,19951219
Phillips,Governor,Yes,19951219
Yellen,Governor,Yes,19951219
