Voter,Greeting,Vote,date
Greenspan,Chairman,Yes,19950523
McDonough,Vice Chairman,Yes,19950523
Blinder,Governor,Yes,19950523
Hoenig,President,No,19950523
Kelley,Governor,Yes,19950523
Lindsey,Governor,Yes,19950523
Melzer,President,Yes,19950523
Minehan,President,Yes,19950523
Moskow,President,Yes,19950523
Phillips,Governor,Yes,19950523
Yellen,Governor,Yes,19950523
