Voters,Greeting,Vote,date
Bernanke,Chairman,Yes,20140129
Dudley,Vice Chairman,Yes,20140129
Fisher,President,Yes,20140129
Kocherlakota,President,Yes,20140129
Pianalto,President,Yes,20140129
Plosser,President,Yes,20140129
Powell,Governor,Yes,20140129
Stein,Governor,Yes,20140129
Tarullo,Governor,Yes,20140129
Yellen,Governor,Yes,20140129
