Voter,Greeting,Vote,date
Bernanke,Chairman,Yes,20060808
Geithner,Vice Chairman,Yes,20060808
Bies,Governor,Yes,20060808
Guynn,President,Yes,20060808
Kohn,Governor,Yes,20060808
Kroszner,Governor,Yes,20060808
Lacker,President,No,20060808
Pianalto,President,Yes,20060808
Warsh,Governor,Yes,20060808
Yellen,President,Yes,20060808
