Voters,Greeting,Vote,date
Bernanke,Chairman,Yes,20100921
Dudley,Vice Chairman,Yes,20100921
Bullard,President,Yes,20100921
Duke,Governor,Yes,20100921
Hoenig,President,No,20100921
Pianalto,President,Yes,20100921
Rosengren,President,Yes,20100921
Tarullo,Governor,Yes,20100921
Warsh,Governor,Yes,20100921
