Voters,Greeting,Vote,date
Greenspan,Chairman,Yes,20040630
Geithner,Vice Chairman,Yes,20040630
Bernanke,Governor,Yes,20040630
Bies,Governor,Yes,20040630
Ferguson,Governor,Yes,20040630
Gramlich,Governor,Yes,20040630
Hoenig,Preisdent,Yes,20040630
Kohn,Governor,Yes,20040630
Minehan,President,Yes,20040630
Olson,Governor,Yes,20040630
Pianalto,President,Yes,20040630
Poole, President,Yes,20040630
