Voters,Greeting,Vote,date
Powell,Chairman,Yes,20180613
Dudley,Vice Chairman,Yes,20180613
Barkin,President,Yes,20180613
Bostic,President,Yes,20180613
Brainard,Governor,Yes,20180613
Mester,President,Yes,20180613
Quarles,Governor,Yes,20180613
Williams,President,Yes,20180613
