Voters,Greeting,Vote,date
Greenspan,Chairman,Yes,20001003
McDonough,Vice Chairman,Yes,20001003
Broaddus,Preisdent,Yes,20001003
Ferguson,Governor,Yes,20001003
Gramlich,Governor,Yes,20001003
Guynn,President,Yes,20001003
Jordan,President,Yes,20001003
Kelley,Governor,Yes,20001003
Meyer,Governor,Yes,20001003
Parry,President,Yes,20001003
