Voter,Greeting,Vote,date
Greenspan,Chairman,Yes,19940927
McDonough,Vice Chairman,Yes,19940927
Blinder,Governor,Yes,19940927
Broaddus,President,No,19940927
Forrestal,President,Yes,19940927
Jordan,President,Yes,19940927
Kelley,Governor,Yes,19940927
Laware,Governor,Yes,19940927
Lindsey,Governor,Yes,19940927
Parry,President,Yes,19940927
Phillips,Governor,Yes,19940927
Yellen,Governor,Yes,19940927
