Voters,Greeting,Vote,date
Yellen,Chair,Yes,20160727
Dudley,Vice Chairman,Yes,20160727
Brainard,Governor,Yes,20160727
Bullard,President,Yes,20160727
Fischer,Governor,Yes,20160727
George,President,No,20160727
Mester,President,Yes,20160727
Powell,Governor,Yes,20160727
Rosengren,President,Yes,20160727
Tarullo,Governor,Yes,20160727
