Voter,Greeting,Vote,date
Greenspan,Chairman,Yes,19940517
McDonough,Vice Chairman,Yes,19940517
Broaddus,President,Yes,19940517
Forrestal,President,Yes,19940517
Jordan,President,Yes,19940517
Kelley,Governor,Yes,19940517
Laware,Governor,Yes,19940517
Lindsey,Governor,Yes,19940517
Parry,President,Yes,19940517
Phillips,Governor,Yes,19940517
