Voters,Greeting,Vote,date
Bernanke,Chairman,Yes,20100428
Dudley,Vice Chairman,Yes,20100428
Bullard,President,Yes,20100428
Duke,Governor,Yes,20100428
Hoenig,President,No,20100428
Kohn,Governor,Yes,20100428
Pianalto,President,Yes,20100428
Rosengren,President,Yes,20100428
Tarullo,Governor,Yes,20100428
Warsh,Governor,Yes,20100428
