Voters,Greeting,Vote,date
Bernanke,Chairman,Yes,20090812
Dudley,Vice Chairman,Yes,20090812
Duke,Governor,Yes,20090812
Evans,President,Yes,20090812
Kohn,Governor,Yes,20090812
Lacker,President,Yes,20090812
Lockhart,President,Yes,20090812
Tarullo,Governor,Yes,20090812
Warsh,Governor,Yes,20090812
Yellen,President,Yes,20090812
