Voter,Greeting,Vote,date
Greenspan,Chairman,Yes,19960131
McDonough,Vice Chairman,Yes,19960131
Boehne,President,Yes,19960131
Jordan,President,Yes,19960131
Kelley,Governor,Yes,19960131
Lindsey,Governor,Yes,19960131
McTeer,President,Yes,19960131
Phillips,Governor,Yes,19960131
Stern,President,Yes,19960131
Yellen,Governor,Yes,19960131
