Clean Names,Greeting,Position,date
Greenspan,Mr,chairman,20040316
Geithner,Mr,vice chairman,20040316
Bernanke,Mr,governor,20040316
Bies,Ms,governor,20040316
Ferguson,Mr,governor,20040316
Gramlich,Mr,governor,20040316
Hoenig,Mr,president,20040316
Kohn,Mr,governor,20040316
Minehan,Ms,president,20040316
Olson,Mr,governor,20040316
Pianalto,Ms,president,20040316
Poole,Mr,president,20040316
Mcteer,Mr,president,20040316
Moskow,Mr,president,20040316
Santomero,Mr,president,20040316
Stern,Mr,president,20040316
Broaddus,Mr,president,20040316
Guynn,Mr,president,20040316
Parry,Mr,president,20040316
Reinhart,Mr,secretary and economist,20040316
Bernard,Mr,deputy secretary,20040316
Smith,Ms,assistant secretary,20040316
Mattingly,Mr,general counsel,20040316
Johnson,Ms,economist,20040316
Stockton,Mr,economist,20040316
Connors,Mr,associate economist,20040316
Fuhrer,Mr,associate economist,20040316
Howard,Mr,associate economist,20040316
Madigan,Mr,associate economist,20040316
Rasche,Mr,associate economist,20040316
Sniderman,Mr,associate economist,20040316
Struckmeyer,Mr,associate economist,20040316
Wilcox,Mr,associate economist,20040316
Kos,Mr,manager,20040316
Ettin,Mr,deputy director,20040316
Oliner,Mr,associate director,20040316
Slifman,Mr,associate director,20040316
Clouse,Mr,deputy associate director,20040316
Freeman,Mr,deputy associate director,20040316
Whitesell,Mr,deputy associate director,20040316
English,Mr,assistant director,20040316
Skidmore,Mr,special assistant to the board,20040316
Sack,Mr,senior economist,20040316
Luecke,Mr,senior financial analyst,20040316
Low,Ms,open market secretariat assistant,20040316
Moore,Mr,first vice president,20040316
Eisenbeis,Mr,senior vice president,20040316
Evans,Mr,senior vice president,20040316
Judd,Mr,senior vice president,20040316
Lacker,Mr,senior vice president,20040316
Mester,Ms,senior vice president,20040316
Perelmuter,Ms,senior vice president,20040316
Rolnick,Mr,senior vice president,20040316
Rosenblum,Mr,senior vice president,20040316
Rosenblum,Mr,senior vice president,20040316
Steindel,Mr,senior vice president,20040316
Kahn,Mr,vice president,20040316
