Clean Names,Greeting,Position,date
Bernanke,Mr,chairman,20120913
Dudley,Mr,vice chairman,20120913
Duke,Ms,governor,20120913
Lacker,Mr,president,20120913
Lockhart,Mr,president,20120913
Pianalto,Ms,president,20120913
Powell,Mr,governor,20120913
Raskin,Ms,governor,20120913
Stein,Mr,governor,20120913
Tarullo,Mr,governor,20120913
Williams,Mr,president,20120913
Yellen,Ms,president,20120913
Bullard,Mr,president,20120913
Cumming,Ms,first vice president,20120913
Evans,Mr,president,20120913
George,Ms,president,20120913
Rosengren,Mr,president,20120913
Fisher,Mr,president,20120913
Kocherlakota,Mr,president,20120913
Plosser,Mr,president,20120913
English,Mr,secretary and economist,20120913
Danker,Ms,deputy secretary,20120913
Luecke,Mr,assistant secretary,20120913
Skidmore,Mr,assistant secretary,20120913
Smith,Ms,assistant secretary,20120913
Alvarez,Mr,general counsel,20120913
Baxter,Mr,deputy general counsel,20120913
Kamin,Mr,economist,20120913
Wilcox,Mr,economist,20120913
Altig,Mr,associate economist,20120913
Connors,Mr,associate economist,20120913
Leahy,Mr,associate economist,20120913
Nelson,Mr,associate economist,20120913
Reifschneider,Mr,associate economist,20120913
Rudebusch,Mr,associate economist,20120913
Wascher,Mr,associate economist,20120913
Weinberg,Mr,associate economist,20120913
Potter,Mr,system open market account manager,20120913
Liang,Ms,director,20120913
Faust,Mr,special advisor to the board,20120913
Clouse,Mr,deputy director,20120913
Hunter,Ms,deputy director,20120913
Lehnert,Mr,deputy director,20120913
Robertson,Ms,assistant to the board,20120913
Carpenter,Mr,senior associate director,20120913
Laubach,Mr,senior adviser,20120913
Meade,Ms,senior adviser,20120913
Zickler,Ms,senior adviser,20120913
Gross,Mr,special assistant to the board,20120913
Engen,Mr,associate director,20120913
Palumbo,Mr,associate director,20120913
Passmore,Mr,associate director,20120913
Natalucci,Mr,deputy associate director,20120913
Nelson,Mr,section chief,20120913
Rudd,Mr,senior economist,20120913
Dubbert,Ms,first vice president,20120913
Mester,Ms,executive vice president,20120913
Rosenblum,Mr,executive vice president,20120913
Sullivan,Mr,executive vice president,20120913
Coughlin,Mr,senior vice president,20120913
Davig,Mr,senior vice president,20120913
Schweitzer,Mr,senior vice president,20120913
Yi,Mr,senior vice president,20120913
Logan,Ms,vice president,20120913
Mccarthy,Mr,vice president,20120913
olivei,Mr,vice president,20120913
Wuerffel,Mr,vice president,20120913
Ezer,Ms,markets officer,20120913
