Clean Names,Greeting,Position,date
Bernanke,Mr,chairman,20080130
Geithner,Mr,vice chairman,20080130
Fisher,Mr,president,20080130
Kohn,Mr,governor,20080130
Kroszner,Mr,governor,20080130
Mishkin,Mr,governor,20080130
Pianalto,Ms,president,20080130
Plosser,Mr,president,20080130
Stern,Mr,president,20080130
Warsh,Mr,governor,20080130
Evans,Mr,president,20080130
Lacker,Mr,president,20080130
Lockart,Mr,president,20080130
Yellen,Ms,president,20080130
Hoenig,Mr,president,20080130
Poole,Mr,president,20080130
Rosengren,Mr,president,20080130
Madigan,Mr,secretary and economist,20080130
Danker,Ms,deputy secretary,20080130
Smith,Ms,assistant secretary,20080130
Skidmore,Mr,assistant secretary,20080130
Alvarez,Mr,general counsel,20080130
Baxter,Mr,deputy general counsel,20080130
Sheets,Mr,economist,20080130
Stockton,Mr,economist,20080130
Connors,Mr,associate economist,20080130
English,Mr,associate economist,20080130
Kamin,Mr,associate economist,20080130
Mester,Ms,associate economist,20080130
Rosenblum,Mr,associate economist,20080130
Slifman,Mr,associate economist,20080130
Sniderman,Mr,associate economist,20080130
Tracy,Mr,associate economist,20080130
Wilcox,Mr,associate economist,20080130
Dudley,Mr,manager,20080130
Parkinson,Mr,deputy director,20080130
Struckmeyer,Mr,deputy staff director,20080130
Clouse,Mr,senior associate director,20080130
Liang,Ms,associate director,20080130
Reifschneider,Mr,associate director,20080130
Wascher,Mr,associate director,20080130
Barger,Ms,associate director,20080130
Greenlee,Mr,associate director,20080130
Gibson,Mr,deputy associate director,20080130
Dale,Mr,senior adviser,20080130
Oliner,Mr,senior adviser,20080130
Durham,Mr,assistant director,20080130
Perli,Mr,assistant director,20080130
Blanchard,Mr,assistant to the board,20080130
Small,Mr,project manager,20080130
Bassett,Mr,senior economist,20080130
Doyle,Mr,senior economist,20080130
Kusko,Ms,senior economist,20080130
Luecke,Mr,senior financial analyst,20080130
Driscoll,Mr,economist,20080130
Low,Ms,open market secretariat specialist,20080130
Greenlee,Ms,first vice president,20080130
Fuhrer,Mr,executive vice president,20080130
Judd,Mr,executive vice president,20080130
Altig,Mr,senior vice president,20080130
Angulo,Mr,senior vice president,20080130
Hirtle,Ms,senior vice president,20080130
Mosser,Ms,senior vice president,20080130
Peters,Mr,senior vice president,20080130
Rasche,Mr,senior vice president,20080130
Hakkio,Mr,senior adviser,20080130
Krane,Mr,vice president,20080130
Weber,Mr,senior research officer,20080130
