Clean Names,Greeting,Position,date
Burns,Mr,chairman,19771018
Volcker,Mr,vice chairman,19771018
Coldwell,Mr,president,19771018
Gardner,Mr,governor,19771018
Guffey,Mr,president,19771018
Jackson,Mr,governor,19771018
Lilly,Mr,governor,19771018
Mayo,Mr,president,19771018
Morris,Mr,president,19771018
Partee,Mr,governor,19771018
Roos,Mr,president,19771018
Wallich,Mr,governor,19771018
Balles,Mr,president,19771018
Baughman,Mr,president,19771018
Winn,Mr,president,19771018
Black,Mr,president,19771018
Kimbrel,Mr,president,19771018
Willes,Mr,president,19771018
Broida,Mr,secretary,19771018
Altmann,Mr,deputy secretary,19771018
Bernard,Mr,assistant secretary,19771018
Oconnell,Mr,general counsel,19771018
Axilrod,Mr,economist,19771018
Balbach,Mr,associate economist,19771018
R Davis,Mr,associate economist,19771018
T Davis,Mr,associate economist,19771018
Ettin,Mr,associate economist,19771018
Kichline,Mr,associate economist,19771018
Reynolds,Mr,associate economist,19771018
Scheld,Mr,associate economist,19771018
Truman,Mr,associate economist,19771018
Zeisel,Mr,associate economist,19771018
Pardee,Mr,deputy manager for foreign operations,19771018
Sternlight,Mr,deputy manager for domestic operations,19771018
Hudson,Mr,assistant to the chairman,19771018
Coyne,Mr,assistant to the board of governors,19771018
Keir,Mr,assistant to the board of governors,19771018
Kalchbrenner,Mr,associate director,19771018
Farar,Ms,economist,19771018
Deck,Ms,staff assistant,19771018
Mcintosh,Mr,first vice president,19771018
Moriarty,Mr,first vice president,19771018
Smoot,Mr,first vice president,19771018
J Davis,Mr,senior vice president,19771018
Broaddus,Mr,vice president,19771018
Burns,Mr,vice president,19771018
Cox,Mr,vice president,19771018
Kaminow,Mr,vice president,19771018
Keran,Mr,vice president,19771018
Sandberg,Mr,assistant vice president,19771018
Kareken,Mr,economic adviser,19771018
