Clean Names,Greeting,Position,date
Greenspan,Mr,chairman,19970205
McDonough,Mr,vice chairman,19970205
Boehne,Mr,president,19970205
Broaddus,Mr,president,19970205
Guynn,Mr,president,19970205
Kelley,Mr,governor,19970205
Meyer,Mr,governor,19970205
Moskow,Mr,president,19970205
Parry,Mr,president,19970205
Phillips,Ms,governor,19970205
Rivlin,Ms,governor,19970205
Hoenig,Mr,president,19970205
Jordan,Mr,president,19970205
Melzer,Mr,president,19970205
Minehan,Ms,president,19970205
Boehne,Mr,president,19970205
Mcteer,Mr,president,19970205
Stern,Mr,president,19970205
Kohn,Mr,secretary and economist,19970205
Bernard,Mr,deputy secretary,19970205
Coyne,Mr,assistant secretary,19970205
Gillum,Mr,assistant secretary,19970205
Mattingly,Mr,general counsel,19970205
Baxter,Mr,deputy general counsel,19970205
Prell,Mr,economist,19970205
Truman,Mr,economist,19970205
Beebe,Mr,associate economist,19970205
Eisenbeis,Mr,associate economist,19970205
Goodfriend,Mr,associate economist,19970205
Hunter,Mr,associate economist,19970205
Lindsey,Mr,associate economist,19970205
Mishkin,Mr,associate economist,19970205
Promisel,Mr,associate economist,19970205
Siegman,Mr,associate economist,19970205
Slifman,Mr,associate economist,19970205
Stockton,Mr,associate economist,19970205
Fisher,Mr,system open market account manager,19970205
Ettin,Mr,deputy director,19970205
Madigan,Mr,associate director,19970205
Simpson,Mr,associate director,19970205
Winn,Mr,assistant to the board,19970205
Johnson,Ms,assistant director,19970205
Brayton,Mr,senior economist,19970205
Rosine,Mr,senior economist,19970205
Brady,Mr,section chief,19970205
Reifschneider,Mr,section chief,19970205
Garrett,Ms,economist,19970205
Low,Ms,open market secretariat assistant,19970205
Browne,Ms,senior vice president,19970205
Dewald,Mr,senior vice president,19970205
Hakkio,Mr,senior vice president,19970205
Lang,Mr,senior vice president,19970205
Rosenblum,Mr,senior vice president,19970205
Sniderman,Mr,senior vice president,19970205
Miller,Mr,vice president,19970205
Perelmuter,Ms,vice president,19970205
