Clean Names,Greeting,Position,date
Burns,Mr,chairman,19760921
Volcker,Mr,vice chairman,19760921
Balles,Mr,president,19760921
Black,Mr,president,19760921
Coldwell,Mr,president,19760921
Gardner,Mr,governor,19760921
Jackson,Mr,governor,19760921
Kimbrel,Mr,president,19760921
Lilly,Mr,governor,19760921
Wallich,Mr,governor,19760921
Winn,Mr,president,19760921
Baughman,Mr,president,19760921
Guffey,Mr,president,19760921
Mayo,Mr,president,19760921
Morris,Mr,president,19760921
Maclaury,Mr,president,19760921
Eastburn,Mr,president,19760921
Roos,Mr,president,19760921
Broida,Mr,secretary,19760921
Altman,Mr,deputy secretary,19760921
Bernard,Mr,assistant secretary,19760921
Oconnell,Mr,general counsel,19760921
Axilrod,Mr,economist,19760921
Brandt,Mr,associate economist,19760921
Davis,Mr,associate economist,19760921
Keran,Mr,associate economist,19760921
Kichline,Mr,associate economist,19760921
Parthemos,Mr,associate economist,19760921
Reynolds,Mr,associate economist,19760921
Zeisel,Mr,associate economist,19760921
Holmes,Mr,manager,19760921
Pardee,Mr,deputy manager for foreign operations,19760921
Sternlight,Mr,deputy manager for domestic operations,19760921
Coyne,Mr,assistant to the board of governors,19760921
Keir,Mr,assistant to the board of governors,19760921
Gemmill,Mr,adviser,19760921
Farar,Ms,economist,19760921
Deck,Ms,staff assistant,19760921
Balbach,Mr,senior vice president,19760921
Boehne,Mr,senior vice president,19760921
Doll,Mr,senior vice president,19760921
Eisenmenger,Mr,senior vice president,19760921
Scheld,Mr,senior vice president,19760921
Burns,Mr,vice president,19760921
Kareken,Mr,economic adviser,19760921
Hall,Mr,economist,19760921
Hill,Mr,senior economist,19760921
