Clean Names,Greeting,Position,date
Burns,Mr,chairman,19761221
Volcker,Mr,vice chairman,19761221
Balles,Mr,president,19761221
Black,Mr,president,19761221
Coldwell,Mr,president,19761221
Gardner,Mr,governor,19761221
Jackson,Mr,governor,19761221
Kimbrel,Mr,president,19761221
Lilly,Mr,governor,19761221
Partee,Mr,governor,19761221
Wallich,Mr,governor,19761221
Winn,Mr,president,19761221
Baughman,Mr,president,19761221
Guffey,Mr,president,19761221
Mayo,Mr,president,19761221
Morris,Mr,president,19761221
Maclaury,Mr,president,19761221
Eastburn,Mr,president,19761221
Roos,Mr,president,19761221
Broida,Mr,secretary,19761221
Altman,Mr,deputy secretary,19761221
Bernard,Mr,assistant secretary,19761221
Oconnell,Mr,general counsel,19761221
Axilrod,Mr,economist,19761221
Gramley,Mr,economist,19761221
Brandt,Mr,associate economist,19761221
Davis,Mr,associate economist,19761221
Kichline,Mr,associate economist,19761221
Parthemos,Mr,associate economist,19761221
Reynolds,Mr,associate economist,19761221
Zeisel,Mr,associate economist,19761221
Pardee,Mr,deputy manager for foreign operations,19761221
Sternlight,Mr,deputy manager for domestic operations,19761221
Coyne,Mr,assistant to the board of governors,19761221
Keir,Mr,assistant to the board of governors,19761221
Gemmill,Mr,adviser,19761221
Kalchbrenner,Mr,adviser,19761221
Paulus,Mr,chief,19761221
Smith,Mr,chief,19761221
Beck,Mr,senior economist,19761221
Farar,Mrs,economist,19761221
Deck,Mrs,staff assistant,19761221
Boehne,Mr,senior vice president,19761221
Doll,Mr,senior vice president,19761221
Eisenmenger,Mr,senior vice president,19761221
Scheld,Mr,senior vice president,19761221
Burns,Mr,vice president,19761221
Karnosky,Mr,vice president,19761221
Keran,Mr,vice president,19761221
Hall,Mr,assistant vice president,19761221
Duprey,Mr,economic adviser,19761221
Tschinkel,Ms,adviser,19761221
