Clean Names,Greeting,Position,date
Powell,Mr,chairman,20181219
Williams,Mr,vice chairman,20181219
Barkin,Mr,president,20181219
Bostic,Mr,president,20181219
Bowman,Ms,governor,20181219
Brainard,Ms,governor,20181219
Clarida,Mr,governor,20181219
Daly,Ms,president,20181219
Mester,Ms,president,20181219
Quarles,Mr,governor,20181219
Bullard,Mr,president,20181219
Evans,Mr,president,20181219
George,Ms,president,20181219
Strine,Mr,first vice president,20181219
Rosengren,Mr,president,20181219
Harker,Mr,president,20181219
Kaplan,Mr,president,20181219
Kashkari,Mr,president,20181219
Clouse,Mr,secretary,20181219
Luecke,Mr,deputy secretary,20181219
Skidmore,Mr,assistant secretary,20181219
Smith,Ms,assistant secretary,20181219
Van der weide,Mr,general counsel,20181219
Held,Mr,deputy general counsel,20181219
Kamin,Mr,economist,20181219
Laubach,Mr,economist,20181219
Wilcox,Mr,economist,20181219
Altig,Mr,associate economist,20181219
Athreya,Mr,associate economist,20181219
Connors,Mr,associate economist,20181219
Lebow,Mr,associate economist,20181219
Reeve,Mr,associate economist,20181219
Wascher,Mr,associate economist,20181219
Wilson,Ms,associate economist,20181219
Potter,Mr,system open market account manager,20181219
Logan,Ms,deputy manager,20181219
Misback,Ms,secretary,20181219
Eichner,Mr,director,20181219
Gibson,Mr,director,20181219
Lehnert,Mr,director,20181219
Covitz,Mr,deputy director,20181219
Edge,Ms,deputy director,20181219
Kiley,Mr,deputy director,20181219
Faust,Mr,senior special adviser to the chairman,20181219
Bomfim,Mr,special adviser to the chairman,20181219
Doyle,Mr,special adviser to the board,20181219
Gruber,Mr,special adviser to the board,20181219
Meade,Ms,special adviser to the board,20181219
Roberts,Mr,special adviser to the board,20181219
Robertson,Ms,assistant to the board,20181219
Ahmed,Mr,senior associate director,20181219
Erceg,Mr,senior associate director,20181219
Engen,Mr,senior associate director,20181219
Weinbach,Ms,senior associate director,20181219
Nelson,Mr,senior adviser,20181219
Deboer,Mr,associate director,20181219
Lopez-salido,Mr,associate director,20181219
Wei,Ms,associate director,20181219
Stevens,Mr,associate director,20181219
Sharpe,Mr,deputy associate director,20181219
Walker,Mr,deputy associate director,20181219
Figura,Mr,assistant director,20181219
Sabelhaus,Mr,assistant director,20181219
Gust,Mr,assistant director,20181219
Lipscomb,Ms,assistant director,20181219
Senyuz,Ms,assistant director,20181219
Kim,Mr,adviser,20181219
Beattie,Ms,assistant to the secretary,20181219
Michele,Mr,section chief,20181219
Carlson,Mr,senior economic project manager,20181219
Small,Mr,project manager,20181219
Ajello,Mr,principal economist,20181219
Anderson,Ms,principal economist,20181219
Skaperdas,Mr,economist,20181219
Winford,Ms,information management analyst,20181219
Dotsey,Mr,executive vice president,20181219
Leduc,Mr,executive vice president,20181219
Sullivan,Mr,executive vice president,20181219
Tootell,Mr,executive vice president,20181219
Waller,Mr,executive vice president,20181219
Clark,Mr,senior vice president,20181219
Koenig,Mr,senior vice president,20181219
Martin,Mr,senior vice president,20181219
Remache,Ms,senior vice president,20181219
Armenter,Mr,vice president,20181219
Chen,Ms,vice president,20181219
Willis,Mr,vice president,20181219
Zobel,Ms,vice president,20181219
Afonso,Ms,assistant vice president,20181219
Riordan,Mr,assistant vice president,20181219
Prasanna,Mr,markets officer,20181219
Stowe,Ms,markets officer,20181219
Schulhofer-Wohl,Mr,senior economist and research advisor,20181219
Perri,Mr,monetary advisor,20181219
