Clean Names,Greeting,Position,date
Greenspan,Mr,chairman,20030916
Bernanke,Mr,vice chairman,20030916
Bies,Ms,governor,20030916
Broaddus,Mr,president,20030916
Ferguson,Mr,governor,20030916
Gramlich,Mr,governor,20030916
Guynn,Mr,president,20030916
Kohn,Mr,governor,20030916
Moskow,Mr,president,20030916
Olson,Mr,governor,20030916
Parry,Mr,president,20030916
Hoenig,Mr,president,20030916
Minehan,Ms,president,20030916
Pianalto,Ms,president,20030916
Poole,Mr,president,20030916
Stewart,Mr,president,20030916
Mcteer,Mr,president,20030916
Santomero,Mr,president,20030916
Stern,Mr,president,20030916
Reinhart,Mr,secretary and economist,20030916
Bernard,Mr,deputy secretary,20030916
Gillum,Mr,assistant secretary,20030916
Smith,Ms,assistant secretary,20030916
Mattingly,Mr,general counsel,20030916
Johnson,Ms,economist,20030916
Stockton,Mr,economist,20030916
Connors,Mr,associate economist,20030916
Cumming,Ms,associate economist,20030916
Eisenbeis,Mr,associate economist,20030916
Evans,Mr,associate economist,20030916
Goodfriend,Mr,associate economist,20030916
Howard,Mr,associate economist,20030916
Judd,Mr,associate economist,20030916
Madigan,Mr,associate economist,20030916
Struckmeyer,Mr,associate economist,20030916
Wilcox,Mr,associate economist,20030916
Kos,Mr,system open market account manager,20030916
Hambley,Mr,assistant to the board,20030916
Slifman,Mr,associate director,20030916
Oliner,Mr,associate director,20030916
Whitesell,Mr,deputy associate director,20030916
Clouse,Mr,deputy associate director,20030916
Kamin,Mr,deputy associate director,20030916
English,Mr,assistant director,20030916
Skidmore,Mr,special assistant to the board,20030916
Luecke,Mr,senior financial analyst,20030916
Low,Ms,open market secretariat assistant,20030916
Fuhrer,Mr,senior vice president,20030916
Hakkio,Mr,senior vice president,20030916
Mester,Ms,senior vice president,20030916
Perelmuter,Ms,senior vice president,20030916
Rolnick,Mr,senior vice president,20030916
Rosenblum,Mr,senior vice president,20030916
Sniderman,Mr,senior vice president,20030916
Bullard,Mr,vice president,20030916
