Clean Names,Greeting,Position,date
Greenspan,Mr,chairman,19980331
McDonough,Mr,vice chairman,19980331
Ferguson,Mr,governor,19980331
Gramlich,Mr,governor,19980331
Hoenig,Mr,president,19980331
Jordan,Mr,president,19980331
Kelley,Mr,governor,19980331
Meyer,Mr,governor,19980331
Minehan,Ms,president,19980331
Phillips,Ms,governor,19980331
Poole,Mr,president,19980331
Rivlin,Ms,governor,19980331
Boehne,Mr,president,19980331
Mcteer,Mr,president,19980331
Moskow,Mr,president,19980331
Stern,Mr,president,19980331
Broaddus,Mr,president,19980331
Guynn,Mr,president,19980331
Parry,Mr,president,19980331
Kohn,Mr,secretary and economist,19980331
Bernard,Mr,deputy secretary,19980331
Coyne,Mr,assistant secretary,19980331
Gillum,Mr,assistant secretary,19980331
Mattingly,Mr,general counsel,19980331
Prell,Mr,economist,19980331
Baxter,Mr,deputy general counsel,19980331
Truman,Mr,economist,19980331
Browne,Ms,associate economist,19980331
Cecchetti,Mr,associate economist,19980331
Dewald,Mr,associate economist,19980331
Hakkio,Mr,associate economist,19980331
Lindsey,Mr,associate economist,19980331
Promisel,Mr,associate economist,19980331
Simspon,Mr,associate economist,19980331
Sniderman,Mr,associate economist,19980331
Stockton,Mr,associate economist,19980331
Fisher,Mr,system open market account manager,19980331
Ettin,Mr,deputy director,19980331
Slifman,Mr,associate director,19980331
Alexander,Mr,associate director,19980331
Hooper,Mr,associate director,19980331
Johnson,Ms,associate director,19980331
Reinhart,Mr,assistant director,19980331
Low,Ms,open market secretariat assistant,19980331
Rasdall,Mr,first vice president,19980331
Goodfriend,Mr,senior vice president,19980331
Hunter,Mr,senior vice president,19980331
Kos,Mr,senior vice president,19980331
Lang,Mr,senior vice president,19980331
Rolnick,Mr,senior vice president,19980331
Rosenblum,Mr,senior vice president,19980331
Rosenbaum,Ms,vice president,19980331
Rudebusch,Mr,research officer,19980331
