Clean Names,Greeting,Position,date
Burns,Mr,chairman,19760420
Volcker,Mr,vice chairman,19760420
Balles,Mr,president,19760420
Black,Mr,president,19760420
Coldwell,Mr,governor,19760420
Gardner,Mr,governor,19760420
Holland,Mr,governor,19760420
Jackson,Mr,governor,19760420
Kimbrel,Mr,president,19760420
Partee,Mr,governor,19760420
Wallich,Mr,governor,19760420
Winn,Mr,president,19760420
Baughman,Mr,president,19760420
Guffey,Mr,president,19760420
Mayo,Mr,president,19760420
Morris,Mr,president,19760420
Eastburn,Mr,president,19760420
Maclaury,Mr,president,19760420
Roos,Mr,president,19760420
Broida,Mr,secretary,19760420
Altmann,Mr,deputy secretary,19760420
Bernard,Mr,assistant secretary,19760420
Oconnell,Mr,general counsel,19760420
Guy,Mr,deputy general counsel,19760420
Axilrod,Mr,economist,19760420
Gramley,Mr,economist,19760420
Brandt,Mr,associate economist,19760420
Hoctor,Mr,associate economist,19760420
Keran,Mr,associate economist,19760420
Kichline,Mr,associate economist,19760420
Parthemos,Mr,associate economist,19760420
Reynolds,Mr,associate economist,19760420
Zeisel,Mr,associate economist,19760420
Holmes,Mr,system open market account manager,19760420
Pardee,Mr,deputy manager for foreign operations,19760420
Sternlight,Mr,deputy manager for domestic operations,19760420
Coyne,Mr,assistant to the board of governors,19760420
Keir,Mr,adviser,19760420
Gemmill,Mr,adviser,19760420
Farar,Ms,economist,19760420
Klaput,Ms,secretary,19760420
Boehne,Mr,senior vice president,19760420
Doll,Mr,senior vice president,19760420
Eisenmenger,Mr,senior vice president,19760420
Scheld,Mr,senior vice president,19760420
Balbach,Mr,vice president,19760420
Burns,Mr,vice president,19760420
Fousek,Mr,economic adviser,19760420
Kareken,Mr,economic adviser,19760420
Sandberg,Mr,assistant vice president,19760420
