Clean Names,Greeting,Position,date
Greenspan,Mr,chairman,20021106
McDonough,Mr,vice chairman,20021106
Bernanke,Mr,governor,20021106
Bies,Ms,governor,20021106
Ferguson,Mr,governor,20021106
Gramlich,Mr,governor,20021106
Jordan,Mr,president,20021106
Kohn,Mr,governor,20021106
Mcteer,Mr,president,20021106
Olson,Mr,governor,20021106
Santomero,Mr,president,20021106
Stern,Mr,president,20021106
Broaddus,Mr,president,20021106
Guynn,Mr,president,20021106
Moskow,Mr,president,20021106
Parry,Mr,president,20021106
Hoenig,Mr,president,20021106
Minehan,Ms,president,20021106
Poole,Mr,president,20021106
Reinhart,Mr,secretary and economist,20021106
Bernard,Mr,deputy secretary,20021106
Gillum,Mr,assistant secretary,20021106
Smith,Ms,assistant secretary,20021106
Mattingly,Mr,general counsel,20021106
Johnson,Ms,economist,20021106
Baxter,Mr,deputy general counsel,20021106
Howard,Mr,associate economist,20021106
Lindsey,Mr,associate economist,20021106
Mester,Ms,associate economist,20021106
Oliner,Mr,associate economist,20021106
Rosenblum,Mr,associate economist,20021106
Sniderman,Mr,associate economist,20021106
Wilcox,Mr,associate economist,20021106
Kos,Mr,system open market account manager,20021106
Ettin,Mr,deputy director,20021106
Madigan,Mr,deputy director,20021106
Simpson,Mr,senior adviser,20021106
Nelson,Mr,senior economist,20021106
Skidmore,Mr,special assistant to the board,20021106
Forte,Mr,senior techincal editor,20021106
Low,Ms,open market secretariat assistant,20021106
Varvel,Mr,first vice president,20021106
Lang,Mr,executive vice president,20021106
Eisenbeis,Mr,senior vice president,20021106
Fuhrer,Mr,senior vice president,20021106
Goodfriend,Mr,senior vice president,20021106
Hakkio,Mr,senior vice president,20021106
Hunter,Mr,senior vice president,20021106
Judd,Mr,senior vice president,20021106
Perelmuter,Ms,senior vice president,20021106
Rasche,Mr,senior vice president,20021106
Peach,Mr,vice president,20021106
Weber,Mr,senior research officer,20021106
