Clean Names,Greeting,Position,date
Greenspan,Mr,chairman,19951115
McDonough,Mr,vice chairman,19951115
Blinder,Mr,governor,19951115
Hoenig,Mr,president,19951115
Kelley,Mr,governor,19951115
Lindsey,Mr,governor,19951115
Melzer,Mr,president,19951115
Minehan,Ms,president,19951115
Moskow,Mr,president,19951115
Phillips,Ms,governor,19951115
Yellen,Ms,governor,19951115
Boehne,Mr,president,19951115
Jordan,Mr,president,19951115
McTeer,Mr,president,19951115
Stern,Mr,president,19951115
Broaddus,Mr,president,19951115
Forrestal,Mr,president,19951115
Parry,Mr,president,19951115
Kohn,Mr,secretary and economist,19951115
Bernard,Mr,deputy secretary,19951115
Coyne,Mr,assistant secretary,19951115
Gillum,Mr,assistant secretary,19951115
Mattingly,Mr,general counsel,19951115
Baxter,Mr,deputy general counsel,19951115
Prell,Mr,economist,19951115
Truman,Mr,economist,19951115
Davis,Mr,associate economist,19951115
Hunter,Mr,associate economist,19951115
Lindsey,Mr,associate economist,19951115
Mishkin,Mr,associate economist,19951115
Promisel,Mr,associate economist,19951115
Siegman,Mr,associate economist,19951115
Slifman,Mr,associate economist,19951115
Stockton,Mr,associate economist,19951115
Fisher,Mr,system open market account manager,19951115
Winn,Mr,assistant to the board,19951115
Ettin,Mr,deputy director,19951115
Madigan,Mr,associate director,19951115
Simpson,Mr,associate director,19951115
Reinhart,Mr,assistant director,19951115
Ramm,Mr,section chief,19951115
Low,Ms,open market secretariat assistant,19951115
Beebe,Mr,senior vice president,19951115
Goodfriend,Mr,senior vice president,19951115
Lang,Mr,senior vice president,19951115
Rolnick,Mr,senior vice president,19951115
Rosenblum,Mr,senior vice president,19951115
Gavin,Mr,vice president,19951115
Kopcke,Mr,vice president,19951115
Krieger,Ms,vice president,19951115
Rosenbaum,Ms,vice president,19951115
Stevens,Mr,consultant,19951115
