Clean Names,Greeting,Position,date
Bernanke,Mr,chairman,20120620
Dudley,Mr,vice chairman,20120620
Duke,Ms,governor,20120620
Lacker,Mr,president,20120620
Lockhart,Mr,president,20120620
Pianalto,Ms,president,20120620
Powell,Mr,governor,20120620
Raskin,Ms,governor,20120620
Stein,Mr,governor,20120620
Tarullo,Mr,governor,20120620
Williams,Mr,president,20120620
Yellen,Ms,president,20120620
Bullard,Mr,president,20120620
Cumming,Ms,first vice president,20120620
Evans,Mr,president,20120620
George,Ms,president,20120620
Rosengren,Mr,president,20120620
Fisher,Mr,president,20120620
Kocherlakota,Mr,president,20120620
Plosser,Mr,president,20120620
English,Mr,secretary and economist,20120620
Danker,Ms,deputy secretary,20120620
Luecke,Mr,assistant secretary,20120620
Skidmore,Mr,assistant secretary,20120620
Smith,Ms,assistant secretary,20120620
Alvarez,Mr,general counsel,20120620
Ashton,Mr,assistant general counsel,20120620
Kamin,Mr,economist,20120620
Wilcox,Mr,economist,20120620
Altig,Mr,associate economist,20120620
Connors,Mr,associate economist,20120620
Leahy,Mr,associate economist,20120620
Nelson,Mr,associate economist,20120620
Potter,Mr,associate economist,20120620
Reifschneider,Mr,associate economist,20120620
Wascher,Mr,associate economist,20120620
Weinberg,Mr,associate economist,20120620
Sack,Mr,system open market account manager,20120620
Liang,Ms,director,20120620
Faust,Mr,special advisor to the board,20120620
Levin,Mr,special advisor to the board,20120620
Robertson,Ms,assistant to the board,20120620
Carpenter,Mr,senior associate director,20120620
Clark,Mr,senior associate director,20120620
Laubach,Mr,senior adviser,20120620
Meade,Ms,senior adviser,20120620
Meyer,Mr,senior adviser,20120620
Zickler,Ms,senior adviser,20120620
Covitz,Mr,associate director,20120620
Engen,Mr,associate director,20120620
Kiley,Mr,associate director,20120620
Lebow,Mr,associate director,20120620
Palumbo,Mr,associate director,20120620
Sharpe,Mr,assistant director,20120620
Stevens,Mr,assistant director,20120620
Small,Mr,project manager,20120620
Covas,Mr,senior economist,20120620
Roush,Ms,senior economist,20120620
Michelis,Mr,senior economist,20120620
Green,Ms,first vice president,20120620
Mester,Ms,executive vice president,20120620
Rosenblum,Mr,executive vice president,20120620
Davig,Mr,senior vice president,20120620
Tootell,Mr,senior vice president,20120620
Waller,Mr,senior vice president,20120620
Yi,Mr,senior vice president,20120620
Fernald,Mr,group vice president,20120620
Logan,Ms,vice president,20120620
Paulson,Ms,vice president,20120620
