Clean Names,Greeting,Position,date
Burns,Mr,chairman,19760518
Volcker,Mr,vice chairman,19760518
Balles,Mr,president,19760518
Black,Mr,president,19760518
Coldwell,Mr,president,19760518
Gardner,Mr,governor,19760518
Jackson,Mr,governor,19760518
Kimbrel,Mr,president,19760518
Partee,Mr,governor,19760518
Wallich,Mr,governor,19760518
Winn,Mr,president,19760518
Baughman,Mr,president,19760518
Guffey,Mr,president,19760518
Mayo,Mr,president,19760518
Morris,Mr,president,19760518
Maclaury,Mr,president,19760518
Roos,Mr,president,19760518
Broida,Mr,secretary,19760518
Altman,Mr,deputy secretary,19760518
Bernard,Mr,assistant secretary,19760518
Oconnell,Mr,general counsel,19760518
Axilrod,Mr,economist,19760518
Gramley,Mr,economist,19760518
Brandt,Mr,associate economist,19760518
Hocter,Mr,associate economist,19760518
Keran,Mr,associate economist,19760518
Kichline,Mr,associate economist,19760518
Parthemos,Mr,associate economist,19760518
Reynolds,Mr,associate economist,19760518
Zeisel,Mr,associate economist,19760518
Holmes,Mr,system open market account manager,19760518
Pardee,Mr,deputy manager for foreign operations,19760518
Sternlight,Mr,deputy manager for domestic operations,19760518
Coyne,Mr,assistant to the board of governors,19760518
Keir,Mr,adviser,19760518
Gemmill,Mr,adviser,19760518
Farar,Ms,economist,19760518
Deck,Ms,staff assistant,19760518
Willes,Mr,first vice president,19760518
Boehne,Mr,senior vice president,19760518
Doll,Mr,senior vice president,19760518
Balbach,Mr,vice president,19760518
Burns,Mr,vice president,19760518
Davis,Mr,vice president,19760518
Nichols,Ms,economic adviser,19760518
Kareken,Mr,economic adviser,19760518
Mcnees,Mr,assistant vice president,19760518
Hill,Mr,senior economist,19760518
