Clean Names,Greeting,Position,date
Bernanke,Mr,chairman,20110809
Dudley,Mr,vice chairman,20110809
Duke,Ms,governor,20110809
Evans,Mr,president,20110809
Fisher,Mr,president,20110809
Kocherlakota,Mr,president,20110809
Plosser,Mr,president,20110809
Raskin,Ms,governor,20110809
Tarullo,Mr,governor,20110809
Yellen,Ms,governor,20110809
Cumming,Ms,first vice president,20110809
Lacker,Mr,president,20110809
Lockhart,Mr,president,20110809
Pianalto,Ms,president,20110809
Williams,Mr,president,20110809
Bullard,Mr,president,20110809
Hoenig,Mr,president,20110809
Rosengren,Mr,president,20110809
English,Mr,secretary and economist,20110809
Luecke,Mr,assistant secretary,20110809
Skidmore,Mr,assistant secretary,20110809
Smith,Ms,assistant secretary,20110809
Baxter,Mr,deputy general counsel,20110809
Ashton,Mr,assistant general counsel,20110809
Connors,Mr,associate economist,20110809
Reifschneider,Mr,associate economist,20110809
Sullivan,Mr,associate economist,20110809
Wilcox,Mr,associate economist,20110809
Yi,Mr,associate economist,20110809
Sack,Mr,system open market account manager,20110809
Johnson,Ms,secretary of the board,20110809
Parkinson,Mr,director,20110809
Frierson,Mr,deputy secretary,20110809
Lehnert,Mr,deputy director,20110809
Robertson,Ms,assistant to the board,20110809
Carpenter,Mr,senior associate director,20110809
Leahy,Mr,senior associate director,20110809
Slifman,Mr,senior associate director,20110809
Wascher,Mr,senior associate director,20110809
Levin,Mr,senior adviser,20110809
Meyer,Mr,senior adviser,20110809
Zickler,Ms,visiting senior adviser,20110809
Lebow,Mr,associate director,20110809
Gallin,Mr,deputy associate director,20110809
Natalucci,Mr,dpeuty associate director,20110809
Wilson,Ms,assistant director,20110809
Beattie,Ms,assistant to the secretary,20110809
Driscoll,Mr,senior economist,20110809
Low,Ms,open market secretariat specialist,20110809
Williams,Mr,records management analyst,20110809
Sapenaro,Mr,first vice president,20110809
Sniderman,Mr,executive vice president,20110809
Altig,Mr,senior vice president,20110809
Barkema,Mr,senior vice president,20110809
Tootell,Mr,senior vice president,20110809
Burke,Mr,vice president,20110809
Furlong,Mr,vice president,20110809
Klitgaard,Mr,vice president,20110809
Koenig,Mr,vice president,20110809
Thornton,Mr,vice president,20110809
Sill,Mr,assistant vice president,20110809
Hetzel,Mr,senior economist,20110809
