Clean Names,Greeting,Position,date
Bernanke,Mr,chairman,20121024
Dudley,Mr,vice chairman,20121024
Duke,Ms,governor,20121024
Lacker,Mr,president,20121024
Lockhart,Mr,president,20121024
Pianalto,Ms,president,20121024
Powell,Mr,governor,20121024
Raskin,Ms,governor,20121024
Stein,Mr,governor,20121024
Tarullo,Mr,governor,20121024
Williams,Mr,president,20121024
Yellen,Ms,president,20121024
Bullard,Mr,president,20121024
Evans,Mr,president,20121024
George,Ms,president,20121024
Rosengren,Mr,president,20121024
Fisher,Mr,president,20121024
Kocherlakota,Mr,president,20121024
Plosser,Mr,president,20121024
English,Mr,secretary and economist,20121024
Danker,Ms,deputy secretary,20121024
Luecke,Mr,assistant secretary,20121024
Skidmore,Mr,assistant secretary,20121024
Smith,Ms,assistant secretary,20121024
Alvarez,Mr,general counsel,20121024
Baxter,Mr,deputy general counsel,20121024
Kamin,Mr,economist,20121024
Wilcox,Mr,economist,20121024
Altig,Mr,associate economist,20121024
Connors,Mr,associate economist,20121024
Leahy,Mr,associate economist,20121024
Nelson,Mr,associate economist,20121024
Reifschneider,Mr,associate economist,20121024
Sniderman,Mr,associate economist,20121024
Wascher,Mr,associate economist,20121024
Potter,Mr,system open market account manager,20121024
Gibson,Mr,director,20121024
Clouse,Mr,deputy director,20121024
Lehnert,Mr,deputy director,20121024
Robertson,Ms,assistant to the board,20121024
Laubach,Mr,senior adviser,20121024
Meade,Ms,senior adviser,20121024
Meyer,Mr,senior adviser,20121024
Zickler,Ms,senior adviser,20121024
Engen,Mr,associate director,20121024
Kiley,Mr,associate director,20121024
Gallin,Mr,deputy associate director,20121024
Deboer,Ms,assistant director,20121024
Small,Mr,project manager,20121024
Rudd,Mr,senior economist,20121024
Holcomb,Ms,first vice president,20121024
Fuhrer,Mr,executive vice president,20121024
Mester,Ms,executive vice president,20121024
Davig,Mr,senior vice president,20121024
Krane,Mr,senior vice president,20121024
Stiroh,Mr,senior vice president,20121024
Gavin,Mr,vice president,20121024
Koenig,Mr,vice president,20121024
Logan,Ms,vice president,20121024
Pesenti,Mr,vice president,20121024
Tallarini,Mr,assistant vice president,20121024
Hornstein,Ms,senior advisor,20121024
Swanson,Mr,senior research advisor,20121024
