Model,Coefficient,Std Error,P-value,R-squared
Naive (no controls),-0.0023663850577271446,0.0007046960535460573,0.000785022816237969,0.01003315389278836
Speaker + Date FE ⭐,0.002844175163253036,0.002769633429156896,0.30446099200231713,0.5757231116052433
Speaker FE only,-0.0023143446809510337,0.0007232711589431651,0.0013750871584203939,0.39970555877496383
District + Date FE (wrong),0.0043670531722684825,0.0019745682230674806,0.026990880131030192,0.48001241902966685
