Model,Coefficient,Std Error,P-value,R-squared,Sig
Naive (no controls),-0.0023663850577271446,0.0007046960535460573,0.000785022816237969,0.01003315389278836,***
Speaker FE only,-0.0023143446809510337,0.0007232711589431651,0.0013750871584203939,0.39970555877496383,***
Speaker + Year FE ⭐,-0.0007014912450359214,0.0005492480390944056,0.2015370132263029,0.4388721147160295,
District + Year FE (wrong),-0.0005476276522878569,0.0005527698965167275,0.32183340255675985,0.3384268854936251,
