date,speaker,district,unemployment_discussion_score,dissent_tone_score,is_dissent,unemployment_rate,num_turns,unemp_x_discussion,unemp_quartile
2012-08-01,bullard,St. Louis,0.22669846444133288,0.2816186571402793,0,7.0,28,1.5868892510893302,Q3
2012-08-01,evans,Chicago,0.18805288374540743,0.2831004533480781,1,9.0,19,1.6924759537086669,Q4
2012-08-01,fisher,Dallas,0.1901187555246434,0.2383941683752278,1,6.6,20,1.2547837864626465,Q3
2012-08-01,george,Kansas City,0.2820828189949324,0.3592168659460301,1,7.0,4,1.974579732964527,Q3
2012-08-01,kocherlakota,Minneapolis,0.20811853180954593,0.31227787253246836,0,5.7,20,1.1862756313144118,Q2
2012-08-01,lacker,Richmond,0.19440209543532952,0.2689784377693345,1,5.8,30,1.1275321535249112,Q2
2012-08-01,lockhart,Atlanta,0.27083900482092194,0.3166858712315848,1,8.9,6,2.4104671429062052,Q4
2012-08-01,pianalto,Cleveland,0.2564833945046522,0.31377932927976887,0,7.2,5,1.8466804404334958,Q3
2012-08-01,plosser,Philadelphia,0.19916395714652854,0.2595425113205259,1,7.7,21,1.5335624700282697,Q4
2012-08-01,rosengren,Boston,0.22543162347160586,0.309020085413805,0,6.7,6,1.5103918772597593,Q3
2012-08-01,williams,San Francisco,0.2674935085471693,0.34922580882938664,1,10.2,8,2.728433787181127,Q4
2012-08-01,yellen,San Francisco,0.2492654200747395,0.3419998604093789,0,10.2,5,2.5425072847623427,Q4
2013-05-01,bullard,St. Louis,0.24677744437406118,0.30792900045237803,0,6.8,15,1.6780866217436161,Q3
2013-05-01,evans,Chicago,0.2816076101958643,0.28945891625917775,1,9.2,14,2.5907900138019513,Q4
2013-05-01,fisher,Dallas,0.21516603091731218,0.27185495298166057,0,6.5,7,1.398579200962529,Q3
2013-05-01,george,Kansas City,0.3148135477253147,0.3824610801168813,0,6.8,3,2.14073212453214,Q3
2013-05-01,kocherlakota,Minneapolis,0.2553691005453739,0.28515139166921943,0,5.1,15,1.3023824127814068,Q2
2013-05-01,lacker,Richmond,0.2501547489119346,0.28743410985762385,0,5.6,8,1.4008665939068339,Q2
2013-05-01,lockhart,Atlanta,0.24363087520356025,0.26752137818861044,0,8.3,5,2.0221362641895504,Q4
2013-05-01,pianalto,Cleveland,0.2910385884291469,0.355530616666295,0,7.5,3,2.182789413218602,Q4
2013-05-01,plosser,Philadelphia,0.29600426413359904,0.3960218495400496,0,7.1,3,2.101630275348553,Q3
2013-05-01,rosengren,Boston,0.313788035008965,0.3875884249198787,0,6.8,3,2.133758638060962,Q3
2013-05-01,williams,San Francisco,0.29351659177300155,0.35989360462596903,0,9.2,3,2.700352644311614,Q4
2013-05-01,yellen,San Francisco,0.3303352472550884,0.39033144870624875,0,9.2,3,3.039084274746813,Q4
2017-02-01,bullard,St. Louis,0.22485411352880927,0.2699676448770525,0,4.1,10,0.9219018654681179,Q1
2017-02-01,evans,Chicago,0.2004545322775195,0.2514230468390637,0,5.1,6,1.0223181146153493,Q2
2017-02-01,george,Kansas City,0.32884310260453964,0.39760661870548897,0,4.1,2,1.3482567206786125,Q1
2017-02-01,kaplan,Dallas,0.21608680371886493,0.23719216865260587,1,4.7,10,1.0156079774786653,Q2
2017-02-01,kashkari,Minneapolis,0.2815531431440711,0.3206540611751242,0,3.7,4,1.041746629633063,Q1
2017-02-01,lacker,Richmond,0.18699430466949826,0.2455591699717686,0,3.9,16,0.7292777882110432,Q1
2017-02-01,mester,Cleveland,0.25194959896823704,0.35313988647216366,0,5.1,4,1.284942954738009,Q2
2017-02-01,rosengren,Boston,0.3089701085870211,0.35104466939433077,1,3.9,4,1.2049834234893824,Q1
2017-02-01,williams,San Francisco,0.3090697206122482,0.3844770588351925,1,5.1,3,1.5762555751224656,Q2
2017-11-01,bullard,St. Louis,0.2378084134597657,0.274614018024742,1,3.6,10,0.8561102884551565,Q1
2017-11-01,evans,Chicago,0.3272260502591343,0.40496298325914254,0,4.8,2,1.5706850412438447,Q2
2017-11-01,george,Kansas City,0.3449630438392285,0.42972347432636754,0,3.6,2,1.2418669578212227,Q1
2017-11-01,kaplan,Dallas,0.30110261332368615,0.3366195061694744,1,4.1,5,1.234520714627113,Q1
2017-11-01,kashkari,Minneapolis,0.30545371563931517,0.3342012240724373,1,3.2,4,0.9774518900458086,Q1
2017-11-01,mester,Cleveland,0.19212973481124035,0.25635546427811434,0,4.7,5,0.9030097536128296,Q2
2017-11-01,rosengren,Boston,0.32899507785452997,0.3558343605285073,1,3.8,5,1.2501812958472138,Q1
2017-11-01,williams,San Francisco,0.27786576735027996,0.2943065243242802,1,4.5,3,1.2503959530762598,Q1
