Model,Coefficient,Std Error,P-value,R-squared,Sig
Naive (no controls),0.0002735282872369394,0.0004174592833484261,0.5123251700036376,0.0003938374481121665,
Speaker FE only,0.0002214303484145495,0.0006536056197805808,0.7347733520355646,0.30475139826425,
Speaker + Year FE ⭐,0.00030289594403198005,0.0005473317290518575,0.5799863304123409,0.3443077908536719,
