Dissent Type,β,SE,p-value,Significant,N
General,-0.0014137215869531104,0.002861905796902889,0.6213209553602405,❌,1202
Employment,-0.0038958283511001824,0.0036383395483208835,0.28427242493699423,❌,1146
Inflation,-0.0019793764638409103,0.003406383053456804,0.561187447578327,❌,1197
