date,year,district,year_month,unemployment_gap,unemployment_rate,dissent,direction,dissent_easier
1976-06-22,1976.0,6,1976-06,0.0812499999999998,7.159999999999999,0.0,None,0
1976-06-22,1976.0,7,1976-06,-0.8187499999999996,6.26,0.0,None,0
1976-06-22,1976.0,8,1976-06,-0.5787499999999994,6.5,0.0,None,0
1976-06-22,1976.0,9,1976-06,-2.5037499999999997,4.575,0.0,None,0
1976-06-22,1976.0,10,1976-06,-1.9454166666666663,5.133333333333333,0.0,None,0
1976-06-22,1976.0,11,1976-06,-0.7287499999999998,6.35,0.0,None,0
1976-06-22,1976.0,12,1976-06,0.9545833333333338,8.033333333333333,0.0,None,0
1976-07-20,1976.0,1,1976-07,1.203657407407408,8.266666666666667,0.0,None,0
1976-07-20,1976.0,2,1976-07,3.13699074074074,10.2,0.0,None,0
1976-07-20,1976.0,3,1976-07,2.0036574074074087,9.066666666666668,0.0,None,0
1976-07-20,1976.0,4,1976-07,-0.6130092592592593,6.45,0.0,None,0
1976-07-20,1976.0,5,1976-07,-0.2630092592592596,6.8,0.0,None,0
1976-07-20,1976.0,6,1976-07,0.076990740740741,7.140000000000001,0.0,None,0
1976-07-20,1976.0,7,1976-07,-0.8830092592592598,6.18,0.0,None,0
1976-07-20,1976.0,8,1976-07,-0.5630092592592595,6.5,0.0,None,0
1976-07-20,1976.0,9,1976-07,-2.4380092592592595,4.625,0.0,None,0
1976-07-20,1976.0,10,1976-07,-1.9296759259259255,5.133333333333334,0.0,None,0
1976-07-20,1976.0,11,1976-07,-0.7130092592592598,6.35,0.0,None,0
1976-07-20,1976.0,12,1976-07,0.9814351851851848,8.044444444444444,0.0,None,0
1976-08-17,1976.0,1,1976-08,1.1584259259259246,8.233333333333333,0.0,None,0
1976-08-17,1976.0,2,1976-08,3.1250925925925914,10.2,0.0,None,0
1976-08-17,1976.0,3,1976-08,2.058425925925925,9.133333333333333,0.0,None,0
1976-08-17,1976.0,4,1976-08,-0.6249074074074077,6.45,0.0,None,0
1976-08-17,1976.0,5,1976-08,-0.274907407407408,6.8,0.0,None,0
1976-08-17,1976.0,6,1976-08,0.1450925925925927,7.220000000000001,0.0,None,0
1976-08-17,1976.0,7,1976-08,-0.9349074074074082,6.14,0.0,None,0
1976-08-17,1976.0,8,1976-08,-0.6249074074074086,6.449999999999999,0.0,None,0
