Method,Coefficient,Std Error,P-value,R-squared
Naive (no controls),-0.00197634715459195,0.0007873412497122556,0.012067879485113696,0.005703145485316474
Fixed Effects (region + era),0.0017756918039224254,0.001837822347773558,0.3339474199665726,0.040845134679692086
Within-Group (demeaned),0.0017711671897177542,0.001239892035608032,0.15315230550833067,0.0018573000961988884
National Deviation,-1.0119912850012369e-17,1.2112236128473354e-17,0.4034297619814834,0.02418533921189092
Year Fixed Effects,-0.001526720883553101,0.002022813083582125,0.45039819602146636,0.0681968826519802
