Era,Model,β,p-value,R²,N
Pre-Crisis (1994-2005),Unemployment Only,0.027831127452845668,1.538398374108073e-11,0.03516728473499964,1273
Pre-Crisis (1994-2005),Speaker FE,-0.005899963788594871,0.21594119355026586,0.7818322214172337,1273
Pre-Crisis (1994-2005),Speaker + Year FE,-0.005900585911778777,0.20963341691004758,0.7933976077477436,1273
Crisis (2006-2009),Unemployment Only,-0.008448158234225888,0.10742299516930355,0.006482599221693031,401
Crisis (2006-2009),Speaker FE,0.002699927840945431,0.4134950933174872,0.9403959820243764,401
Crisis (2006-2009),Speaker + Year FE,0.0023818650878946494,0.47065653189778317,0.9413938037291633,401
Post-Crisis (2010-2018),Unemployment Only,0.005535724590345794,0.2692328800513165,0.0014208312087444774,861
Post-Crisis (2010-2018),Speaker FE,-8.341196162257218e-05,0.9784119910109208,0.9528064038214273,861
Post-Crisis (2010-2018),Speaker + Year FE,-0.0014902296274615107,0.6352334429897443,0.9538548916431079,861
