factor,beta_fg,beta_dissent,beta_interaction,p_fg,p_dissent,p_interaction,r_squared,n_obs
pc1_level,13.468161959549809,33.009779668574176,-68.76773076186252,0.3326714750196522,0.20229241789096963,0.19418515541895787,0.031197941392655637,95
pc2_slope,11.316452322136145,26.879706567587142,-52.84313165310864,0.07839026401970284,0.03398774992594951,0.036054586234833756,0.08119771105159967,95
pc3_curvature,-1.606609920542077,-3.9754124960458936,8.345840017322459,0.5432911136897585,0.46263311927305595,0.4349174855828616,0.0114151552740559,95
