regime,factor,beta_fg,beta_interaction,p_fg,p_interaction,r_squared,n_obs
ZLB,pc1_level,50.39801769037683,-195.49575093961178,0.2086092096814942,0.10962262892932118,0.07643661727391549,56
ZLB,pc2_slope,62.745433807483955,-216.10070175114325,0.0008339868164307561,0.000364460971644682,0.34887116398704576,56
ZLB,pc3_curvature,-32.897830514171915,104.24380453107068,0.00472879623987924,0.0031833367043407807,0.19319939963128263,56
liftoff,pc1_level,-5.965025986963354,-67.41671628718217,0.9373489928078382,0.8369788631701931,0.02329690866453038,17
liftoff,pc2_slope,-17.68615507832599,43.01516865524266,0.6863737561911986,0.8449533148925042,0.0707443285663587,17
liftoff,pc3_curvature,5.241318017197557,14.060290296717518,0.7846940889409264,0.8921734710211484,0.09994022097215194,17
