Model,β_unemployment,p_unemployment,β_inflation,p_inflation,Pseudo_R²
Inflation only,,,-0.31636728734504665,0.5105119678371459,0.005083370265126508
Unemployment only,-1.8903853179651209,4.160932762310255e-05,,,0.20697915772241238
Both,-1.877470247948588,5.8006244783913184e-05,-0.09490409844882562,0.8520708079384234,0.20738798000556435
Both + Year FE,-1.58533659020179,0.0007139238450167359,0.19584486852094884,0.7659184305172039,0.44187805314123874
