Era,N,N_Dissents,Dissent_Rate_%,β,SE,p-value,Pseudo_R²
Pre-Crisis (1994-2005),1188,4,0.33670033670033667,1.21407491714556,0.5830762215440528,0.037325206111094966,0.06263741058043182
Crisis (2006-2009),408,0,0.0,-2.197175680959016e-14,30120.115797683615,1.0,inf
Post-Crisis (2010-2018),864,4,0.4629629629629629,0.13095156819954842,0.6017629029557218,0.827730476514258,0.0009694843953013121
