maturity,beta,se,t_stat,p_value,r_squared,n_obs
2Y,0.06654771042663586,0.15510215126664392,0.42905730116038393,0.6678815248730714,0.0019193971487155848,95
5Y,0.12082604788419499,0.22960563290321487,0.5262329427916366,0.5987263679326298,0.00273199387881895,95
10Y,0.3705966034534153,0.36236280173273483,1.0227225357605922,0.30643905306323294,0.02177283524867102,95
30Y,0.33174859698025416,0.3723695723619411,0.8909122055166108,0.3729762717849866,0.019464235664742757,95
