Era,Model,β,p-value,Pseudo R²,N,N_dissents
Pre-Crisis (1994-2005),Unemployment Only,0.022835000779487205,0.933157131480274,2.5435953438068815e-05,1273,29
Pre-Crisis (1994-2005),Year FE,-0.02740755328722034,0.9194014085848751,0.10102362169471923,1273,29
Crisis (2006-2009),Unemployment Only,-0.5905965684938757,0.10739572369289659,0.03042617237414935,401,8
Crisis (2006-2009),Year FE,-0.8931520123612454,0.062310382041951405,0.2455030008553707,401,8
Post-Crisis (2010-2018),Unemployment Only,-0.8442364587127557,3.036029001207651e-07,0.10008906055278788,861,26
Post-Crisis (2010-2018),Year FE,-0.7874428605079943,6.676605134676632e-06,0.23367998480262198,861,26
All (1994-2018),Unemployment Only,-0.6140126876426086,4.727853801283346e-06,0.031695438259917164,2535,63
All (1994-2018),Year FE,-0.594712974757516,1.786855888126261e-05,0.16486159876483597,2535,63
