date,ntfs_change,spread_2_10_change,fg_score,fg_strength,avg_dissent,regional_dissent_share
2006-01-31,3.996099540874809,-5.079999999999973,0.008006017468726978,0.008006017468726978,0.2439136717284864,0.17391304347826086
2006-03-28,8.245328858965806,1.4199999999999768,0.027211882556127498,0.027211882556127498,0.24295004753314597,0.13043478260869565
2006-05-10,7.921355256064899,0.49000000000001265,0.03976158279490605,0.03976158279490605,0.2484545154716788,0.16
2006-06-29,-9.354150746763867,2.0500000000000185,0.027966299484571522,0.027966299484571522,0.2427869720483264,0.12
2006-08-08,-0.06863750775156774,6.02999999999998,-0.023388164079200968,0.023388164079200968,0.2186772612889792,0.14285714285714285
2006-09-20,-6.509813030294342,1.1600000000000499,-0.023774603262471494,0.023774603262471494,0.26404180043599434,0.08
2006-10-25,-8.131642230864955,-0.7600000000000051,-0.022123770576659374,0.022123770576659374,0.22727187769172819,0.18181818181818182
2006-12-12,3.3495819008490635,1.7800000000001148,-0.015790598380839405,0.015790598380839405,0.23577639014466212,0.08333333333333333
2007-01-31,-3.241261028814346,-2.3300000000000765,-0.022041575152923154,0.022041575152923154,0.2838658768350954,0.07142857142857142
2007-03-21,-1.4636018566732467,6.3200000000000145,-0.01657612719159607,0.01657612719159607,0.23819232761507084,0.13636363636363635
2007-05-09,4.04009816106381,0.40000000000004476,-0.029244021141370702,0.029244021141370702,0.20817289622953644,0.13636363636363635
2007-08-07,7.28611976913438,-5.100000000000016,-0.02319677283771815,0.02319677283771815,0.2595004792611987,0.2608695652173913
2007-09-18,16.495088515414214,15.160000000000018,-0.005354601640153667,0.005354601640153667,0.24513540056196134,0.25
2007-10-31,7.203719952093746,0.8500000000000618,-0.008403259988004286,0.008403259988004286,0.2321701300101266,0.2608695652173913
2007-12-11,-8.4020578938512,1.0900000000000354,-0.0015162410250471048,0.0015162410250471048,0.2326919765210998,0.17391304347826086
2008-01-30,11.276935837703261,7.010000000000005,-0.00023652973186483184,0.00023652973186483184,0.2967588067220402,0.15625
2008-03-18,25.385705509434644,-15.840000000000032,-0.007036285159519817,0.007036285159519817,0.2162423119114516,0.22727272727272727
2008-04-30,-1.8831636471218216,-6.769999999999943,-0.008614259446136918,0.008614259446136918,0.2616265117458002,0.3076923076923077
2008-06-25,6.539889391450426,11.350035667418945,0.012980799970513157,0.012980799970513157,0.27621972128794875,0.18518518518518517
2008-08-05,6.585379542254266,4.250001907348988,0.009958725813148717,0.009958725813148717,0.23961378867964092,0.3333333333333333
2008-09-16,18.885123805229618,6.870007514954013,-0.0034294299244772564,0.0034294299244772564,0.23936928927895695,0.2608695652173913
2008-10-29,28.77474558832367,18.749976158142,-0.007593014727564018,0.007593014727564018,0.28076182178528597,0.28
2008-12-16,8.611678253927613,-38.790014386176885,-0.02904591714778193,0.02904591714778193,0.24260658742596913,0.32142857142857145
2009-01-28,30.638547170790574,12.869995832444081,-0.02812577935915106,0.02812577935915106,0.2601882148431184,0.3076923076923077
2009-03-18,-23.723938693781754,-30.879980325698185,0.013311185454260022,0.013311185454260022,0.24668449328291303,0.2857142857142857
2009-04-29,6.241879772157688,11.579978466034024,-0.013767915924521867,0.013767915924521867,0.26408754848740934,0.3076923076923077
2009-06-24,-11.616203235460087,-3.9700388908390227,0.021887935956048543,0.021887935956048543,0.27052420495858903,0.25
2009-08-12,-15.430330525816416,2.3700237274170366,0.008414308227592926,0.008414308227592926,0.25497267912176985,0.34615384615384615
2009-09-23,-12.452723065918114,1.070010662078591,0.008142848704211225,0.008142848704211225,0.2717925293574478,0.28
2009-11-04,-4.09642489288311,10.739982128143755,-0.002742963959658562,0.002742963959658562,0.2796779729208806,0.32142857142857145
2009-12-16,-10.853559512448197,0.11999607086159436,0.008595686081743326,0.008595686081743326,0.27873889815445985,0.32142857142857145
2010-01-27,4.243064235182459,2.110022306442305,0.0008398679667217523,0.0008398679667217523,0.260097785299047,0.35714285714285715
2010-03-16,1.7422297591162206,-4.890030622482255,0.011762955572845013,0.011762955572845013,0.23375539449064223,0.42857142857142855
2010-04-28,0.043902907724091556,3.389990329742254,0.013585487934992813,0.013585487934992813,0.2093726355070751,0.2608695652173913
2010-06-23,-10.142472578860428,0.5199968814852074,0.03682681022632206,0.03682681022632206,0.2324227293158402,0.36363636363636365
2010-08-10,-4.1248714326741265,-11.97000145912157,0.01014737277541733,0.01014737277541733,0.21877928526688106,0.2916666666666667
2010-09-21,-4.5311750782779825,-13.549998402595298,0.0023142528424709985,0.0023142528424709985,0.25018652535403896,0.3181818181818182
2010-11-03,0.22666084409941334,-9.979990124702498,0.016312876345221494,0.016312876345221494,0.26626508199755256,0.2692307692307692
2010-12-14,17.44964193724585,18.35001111030663,0.012034634659475074,0.012034634659475074,0.2616061194378203,0.30434782608695654
2011-01-26,7.860403889886491,8.659982681274503,0.022305230116263175,0.022305230116263175,0.31674547159091077,0.2413793103448276
2011-03-15,-8.291069804000994,-11.049985885620917,0.032148934669689044,0.032148934669689044,0.2454581642915302,0.34782608695652173
2011-04-27,-10.961919363783734,4.249978065490234,0.010476451198474401,0.010476451198474401,0.2418390409975626,0.3333333333333333
