date,speaker,district,unemployment_discussion_score,unemployment_rate,num_turns
2006-12-12,HOENIG,Kansas City,0.1924126729656727,4.4646649129837765,1776
2006-12-12,LACKER,Richmond,0.2845391667817945,4.4646649129837765,2368
2006-12-12,MINEHAN,Boston,0.21084870566081315,4.4646649129837765,3848
2006-12-12,MOSKOW,Chicago,0.3572179634883865,4.4646649129837765,1184
2006-12-12,PIANALTO,Cleveland,0.31233068184105883,4.4646649129837765,1480
2006-12-12,PLOSSER,Philadelphia,0.234022941128006,4.4646649129837765,2072
2006-12-12,POOLE,St. Louis,0.2367335318820199,4.4646649129837765,2072
2006-12-12,STERN,Minneapolis,0.2745864984795067,4.4646649129837765,1332
2006-12-12,YELLEN,San Francisco,0.34691199503138187,4.4646649129837765,1776
2007-01-31,DUDLEY,New York,0.25813533695922897,4.465157145475288,4496
2007-01-31,FISHER,Dallas,0.26031487459972574,4.465157145475288,10678
2007-01-31,GEITHNER,New York,0.21215246349330302,4.465157145475288,19108
2007-01-31,HOENIG,Kansas City,0.23141683870823027,4.465157145475288,5620
2007-01-31,LACKER,Richmond,0.22378541352449807,4.465157145475288,13488
2007-01-31,MINEHAN,Boston,0.2138017701471636,4.465157145475288,15736
2007-01-31,MOSKOW,Chicago,0.19206917534565773,4.465157145475288,8430
2007-01-31,PIANALTO,Cleveland,0.256168026927823,4.465157145475288,2248
2007-01-31,PLOSSER,Philadelphia,0.26160964472565956,4.465157145475288,4496
2007-01-31,POOLE,St. Louis,0.22289592814159298,4.465157145475288,7868
2007-01-31,STERN,Minneapolis,0.24973834554884958,4.465157145475288,5058
2007-01-31,YELLEN,San Francisco,0.2253793889808897,4.465157145475288,10959
2007-03-21,DUDLEY,New York,0.2316901305621978,3.965890299706881,5348
2007-03-21,FISHER,Dallas,0.25561504961888326,3.965890299706881,3438
2007-03-21,GEITHNER,New York,0.24094337313462028,3.965890299706881,6112
2007-03-21,HOENIG,Kansas City,0.2828971265846078,3.965890299706881,2292
2007-03-21,LACKER,Richmond,0.2223809725973336,3.965890299706881,6876
2007-03-21,LOCKHART,Atlanta,0.29014069117574154,3.965890299706881,1719
2007-03-21,MINEHAN,Boston,0.24006125205722503,3.965890299706881,5348
2007-03-21,MOSKOW,Chicago,0.21560573506784453,3.965890299706881,4202
2007-03-21,PIANALTO,Cleveland,0.2494581379842081,3.965890299706881,1910
2007-03-21,PLOSSER,Philadelphia,0.2556218718525307,3.965890299706881,1910
2007-03-21,POOLE,St. Louis,0.26735321853297495,3.965890299706881,4966
2007-03-21,STERN,Minneapolis,0.305456099594869,3.965890299706881,3438
2007-03-21,YELLEN,San Francisco,0.294492513739188,3.965890299706881,1719
2007-05-09,DUDLEY,New York,0.2368534723348671,5.533261712298875,1032
2007-05-09,FISHER,Dallas,0.20916053667490972,5.533261712298875,3354
2007-05-09,GEITHNER,New York,0.22526670015324787,5.533261712298875,2838
2007-05-09,HOENIG,Kansas City,0.32282107821022105,5.533261712298875,516
2007-05-09,LACKER,Richmond,0.31109048351083374,5.533261712298875,1548
2007-05-09,LOCKHART,Atlanta,0.34022019708701035,5.533261712298875,1161
2007-05-09,MINEHAN,Boston,0.27542595868103714,5.533261712298875,3096
2007-05-09,MOSKOW,Chicago,0.26287601423744916,5.533261712298875,2064
2007-05-09,PIANALTO,Cleveland,0.30869569759955756,5.533261712298875,516
