window,days_before,days_after,beta,se,p_value,r_squared,n_obs
1day,-1,1,0.0,0.0,,,95
2day,-2,2,0.01937683562509627,0.018492944911189076,0.2947325580060969,0.011707229591289336,95
5day,-5,5,-0.06196353219433711,0.041571319342744203,0.13608345823903367,0.015473530796670132,93
0to1,0,1,0.33984785496346576,0.17145777390218117,0.04746713501919338,0.04898409509939339,95
