factor,beta,se,t_stat,p_value,r_squared,n_obs
pc1_level,-4.445867550445953,4.929835679271896,-0.9018287504265411,0.3671478446563452,0.011784534651734901,95
pc2_slope,-1.7701484649447952,3.108293388290383,-0.5694920793556133,0.5690222444304344,0.009071621444879607,95
pc3_curvature,0.5812751528690963,0.6873243306890077,0.8457072257087095,0.3977160912197861,0.0046228484307480056,95
