Voters,Greeting,Vote,date
Yellen,Chair,Yes,20140917
Dudley,Vice Chairman,Yes,20140917
Brainard,Governor,Yes,20140917
Fischer,Governor,Yes,20140917
Fisher,President,No,20140917
Kocherlakota,President,Yes,20140917
Mester,President,Yes,20140917
Plosser,President,No,20140917
Powell,Governor,Yes,20140917
Tarullo,Governor,Yes,20140917
