Voter,Greeting,Vote,date
Greenspan,Chairman,Yes,19950822
McDonough,Vice Chairman,Yes,19950822
Blinder,Governor,Yes,19950822
Hoenig,President,Yes,19950822
Kelley,Governor,Yes,19950822
Lindsey,Governor,Yes,19950822
Melzer,President,Yes,19950822
Minehan,President,Yes,19950822
Moskow,President,Yes,19950822
Phillips,Governor,Yes,19950822
Yellen,Governor,Yes,19950822
