Voters,Greeting,Vote,date
Yellen,Chair,Yes,20161102
Dudley,Vice Chairman,Yes,20161102
Brainard,Governor,Yes,20161102
Bullard,President,Yes,20161102
Fischer,Governor,Yes,20161102
George,President,No,20161102
Mester,President,No,20161102
Powell,Governor,Yes,20161102
Rosengren,President,Yes,20161102
Tarullo,Governor,Yes,20161102
