Voter,Greeting,Vote,date
Greenspan,Chairman,Yes,19960521
McDonough,Vice Chairman,Yes,19960521
Boehne,President,Yes,19960521
Jordan,President,Yes,19960521
Kelley,Governor,Yes,19960521
Lindsey,Governor,Yes,19960521
McTeer,President,Yes,19960521
Phillips,Governor,Yes,19960521
Stern,President,Yes,19960521
Yellen,Governor,Yes,19960521
