Voter,Greeting,Vote,date
Yellen,Chair,Yes,20171101
Dudley,Vice Chairman,Yes,20171101
Brainard,Governor,Yes,20171101
Evans,President,Yes,20171101
Harker,President,Yes,20171101
Kaplan,President,Yes,20171101
Kashkari,President,Yes,20171101
Powell,Governor,Yes,20171101
Quarles,Governor,Yes,20171101
