Voter,Greeting,Vote,date
Greenspan,Chairman,Yes,19940816
McDonough,Vice Chairman,Yes,19940816
Blinder,Governor,Yes,19940816
Broaddus,President,Yes,19940816
Forrestal,President,Yes,19940816
Jordan,President,Yes,19940816
Kelley,Governor,Yes,19940816
Laware,Governor,Yes,19940816
Lindsey,Governor,Yes,19940816
Parry,President,Yes,19940816
Phillips,Governor,Yes,19940816
Yellen,Governor,Yes,19940816
