Voters,Greeting,Vote,date
Bernanke,Chairman,Yes,20120425
Dudley,Vice Chairman,Yes,20120425
Duke,Governor,Yes,20120425
Lacker,President,No,20120425
Lockhart,President,Yes,20120425
Pianalto,President,Yes,20120425
Raskin,Governor,Yes,20120425
Tarullo,Governor,Yes,20120425
Williams,President,Yes,20120425
Yellen,Governor,Yes,20120425
