Voter,Greeting,Vote,date
Bernanke,Chairman,Yes,20080130
Geithner,Vice Chairman,Yes,20080130
Fisher,President,No,20080130
Kohn,Governor,Yes,20080130
Kroszner,Governor,Yes,20080130
Mishkin,Governor,Yes,20080130
Pianalto,President,Yes,20080130
Plosser,President,Yes,20080130
Stern,President,Yes,20080130
Warsh,Governor,Yes,20080130
