Voter,Greeting,Vote,date
Greenspan,Chairman,Yes,19951115
McDonough,Vice Chairman,Yes,19951115
Blinder,Governor,Yes,19951115
Hoenig,President,Yes,19951115
Kelley,President,No,19951115
Lindsey,President,Yes,19951115
Melzer,Governor,Yes,19951115
Minehan,Governor,Yes,19951115
Moskow,Governor,Yes,19951115
Phillips,President,Yes,19951115
Yellen,Governor,Yes,19951115
