Voter,Greeting,Vote,date
Greenspan,Chairman,Yes,19940322
McDonough,Vice Chairman,Yes,19940322
Broaddus,President,No,19940322
Forrestal,President,Yes,19940322
Jordan,President,No,19940322
Kelley,Governor,Yes,19940322
Laware,Governor,Yes,19940322
Lindsey,Governor,Yes,19940322
Parry,President,Yes,19940322
Phillips,Governor,Yes,19940322
