Voters,Greeting,Vote,date
Bernanke,Chairman,Yes,20100316
Dudley,Vice Chairman,Yes,20100316
Bullard,President,Yes,20100316
Duke,Governor,Yes,20100316
Hoenig,President,No,20100316
Kohn,Governor,Yes,20100316
Pianalto,President,Yes,20100316
Rosengren,President,Yes,20100316
Tarullo,Governor,Yes,20100316
Warsh,Governor,Yes,20100316
