Voter,Greeting,Vote,date
Greenspan,Chairman,Yes,19960326
McDonough,Vice Chairman,Yes,19960326
Boehne,President,Yes,19960326
Jordan,President,Yes,19960326
Kelley,Governor,Yes,19960326
Lindsey,Governor,Yes,19960326
McTeer,President,Yes,19960326
Phillips,Governor,Yes,19960326
Stern,President,Yes,19960326
Yellen,Governor,Yes,19960326
