Voter,Greeting,Vote,date
Greenspan,Chairman,Yes,19950328
McDonough,Vice Chairman,Yes,19950328
Blinder,Governor,Yes,19950328
Hoenig,President,Yes,19950328
Kelley,Governor,Yes,19950328
Lindsey,Governor,Yes,19950328
Melzer,President,Yes,19950328
Minehan,President,Yes,19950328
Moskow,President,Yes,19950328
Phillips,Governor,Yes,19950328
Yellen,Governor,Yes,19950328
